ticketid,opened_date,closed_date,category,status,in_help_channel,description
TCKT001,2023-09-05 09:30:00,2023-09-05 09:40:00,Network,Closed,True,Slow internet connection.
TCKT002,2023-09-05 11:15:00,2023-09-06 10:30:00,Software,Closed,False,Application crashing frequently.
TCKT003,2023-09-11 14:20:00,2023-09-12 14:40:00,Hardware,Closed,True,Printer not responding.
TCKT004,2023-09-11 10:00:00,2023-09-13 09:30:00,Network,Closed,False,Unable to connect to VPN.
TCKT005,2023-09-18 14:45:00,2023-09-20 14:55:00,Software,Closed,True,Email client not syncing.
TCKT006,2023-09-18 11:00:00,2023-09-20 11:20:00,Hardware,Closed,False,Monitor displaying garbled images.
TCKT007,2023-09-25 14:30:00,2023-09-26 14:45:00,Software,Closed,True,Mobile app freezing on startup.
TCKT008,2023-09-25 10:45:00,2023-09-26 11:00:00,Network,Closed,False,Slow network speeds.
TCKT009,2023-09-27 14:00:00,2023-09-28 14:10:00,Hardware,Closed,True,Keyboard keys not working.
TCKT010,2023-09-27 09:00:00,2023-09-28 09:20:00,Software,Closed,False,Software license activation issue.
TCKT011,2023-10-02 11:30:00,2023-10-03 11:40:00,Network,Closed,True,Intermittent network drops.
TCKT012,2023-10-02 10:15:00,2023-10-03 10:25:00,Hardware,Closed,False,Mouse cursor not moving.
TCKT013,2023-10-02 14:45:00,2023-10-03 15:00:00,Software,Closed,True,Error message "Out of memory".
TCKT014,2023-10-03 09:30:00,2023-10-04 09:40:00,Network,Closed,False,Website access blocked.
TCKT015,2023-10-03 11:00:00,2023-10-04 11:10:00,Hardware,Closed,True,Scanner not detected.
TCKT016,2023-10-04 14:30:00,2023-10-05 14:50:00,Software,Closed,False,Application not launching.
TCKT017,2023-10-04 10:00:00,2023-10-05 10:20:00,Network,Closed,True,Internet connection dropping frequently.
TCKT018,2023-10-09 13:45:00,2023-10-10 14:00:00,Hardware,Closed,False,Printer paper jam.
TCKT019,2023-10-09 09:15:00,2023-10-10 09:30:00,Software,Closed,True,Data not saving in application.
TCKT020,2023-10-10 11:30:00,2023-10-11 11:40:00,Network,Closed,False,Router configuration issue.
TCKT021,2023-10-11 09:30:00,2023-10-11 09:40:00,Network,Closed,True,Slow internet connection.
TCKT022,2023-10-16 11:15:00,2023-10-16 11:30:00,Software,Closed,False,Application crashing frequently.
TCKT023,2023-10-17 14:20:00,2023-10-18 14:40:00,Hardware,Closed,True,Printer not responding.
TCKT024,2023-10-17 10:00:00,2023-10-18 09:30:00,Network,Closed,False,Unable to connect to VPN.
TCKT025,2023-10-18 14:45:00,2023-10-19 14:55:00,Software,Closed,True,Email client not syncing.
TCKT026,2023-10-18 11:00:00,2023-10-19 11:20:00,Hardware,Closed,False,Monitor displaying garbled images.
TCKT027,2023-10-25 14:30:00,2023-10-26 14:45:00,Software,Closed,True,Mobile app freezing on startup.
TCKT028,2023-10-25 10:45:00,2023-10-26 11:00:00,Network,Closed,False,Slow network speeds.
TCKT029,2023-10-25 14:00:00,2023-10-26 14:10:00,Hardware,Closed,True,Keyboard keys not working.
TCKT030,2023-10-27 09:00:00,2023-10-27 09:20:00,Software,Closed,False,Software license activation issue.
TCKT031,2023-10-30 11:30:00,2023-10-31 11:40:00,Network,Closed,True,Intermittent network drops.
TCKT032,2023-10-30 10:15:00,2023-10-31 10:25:00,Hardware,Closed,False,Mouse cursor not moving.
TCKT033,2023-10-30 14:45:00,2023-10-31 15:00:00,Software,Closed,True,Error message "Out of memory".
TCKT034,2023-10-31 09:30:00,2023-11-01 09:40:00,Network,Closed,False,Website access blocked.
TCKT035,2023-10-31 11:00:00,2023-11-01 11:10:00,Hardware,Closed,True,Scanner not detected.
TCKT036,2023-11-01 14:30:00,2023-11-02 14:50:00,Software,Closed,False,Application not launching.
TCKT037,2023-11-01 10:00:00,2023-11-02 10:20:00,Network,Closed,True,Internet connection dropping frequently.
TCKT038,2023-11-06 13:45:00,2023-11-07 14:00:00,Hardware,Closed,False,Printer paper jam.
TCKT039,2023-11-06 09:15:00,2023-11-07 09:30:00,Software,Closed,True,Data not saving in application.
TCKT040,2023-11-07 11:30:00,2023-11-08 11:40:00,Network,Closed,False,Router configuration issue.
TCKT041,2023-11-08 09:30:00,2023-11-08 09:40:00,Network,Closed,True,Slow internet connection.
TCKT042,2023-11-13 11:15:00,2023-11-13 11:30:00,Software,Closed,False,Application crashing frequently.
TCKT043,2023-11-14 14:20:00,2023-11-15 14:40:00,Hardware,Closed,True,Printer not responding.
TCKT044,2023-11-14 10:00:00,2023-11-15 09:30:00,Network,Closed,False,Unable to connect to VPN.
TCKT045,2023-11-15 14:45:00,2023-11-16 14:55:00,Software,Closed,True,Email client not syncing.
TCKT046,2023-11-15 11:00:00,2023-11-16 11:20:00,Hardware,Closed,False,Monitor displaying garbled images.
TCKT047,2023-11-22 14:30:00,2023-11-23 14:45:00,Software,Closed,True,Mobile app freezing on startup.
TCKT048,2023-11-22 10:45:00,2023-11-23 11:00:00,Network,Closed,False,Slow network speeds.
TCKT049,2023-11-22 14:00:00,2023-11-23 14:10:00,Hardware,Closed,True,Keyboard keys not working.
TCKT050,2023-11-24 09:00:00,2023-11-24 09:20:00,Software,Closed,False,Software license activation issue.
TCKT051,2023-11-27 11:30:00,2023-11-28 11:40:00,Network,Closed,True,Intermittent network drops.
TCKT052,2023-11-27 10:15:00,2023-11-28 10:25:00,Hardware,Closed,False,Mouse cursor not moving.
TCKT053,2023-11-27 14:45:00,2023-11-28 15:00:00,Software,Closed,True,Error message "Out of memory".
TCKT054,2023-11-28 09:30:00,2023-11-29 09:40:00,Network,Closed,False,Website access blocked.
TCKT055,2023-11-28 11:00:00,2023-11-29 11:10:00,Hardware,Closed,True,Scanner not detected.
TCKT056,2023-11-29 14:30:00,2023-11-30 14:50:00,Software,Closed,False,Application not launching.
TCKT057,2023-11-30 10:20:00,2023-11-30 10:30:00,Network,Closed,True,Internet connection dropping frequently.
TCKT058,2023-12-04 13:45:00,2023-12-05 14:00:00,Hardware,Closed,False,Printer paper jam.
TCKT059,2023-12-04 09:15:00,2023-12-05 09:30:00,Software,Closed,True,Data not saving in application.
TCKT060,2023-12-05 11:30:00,2023-12-06 11:40:00,Network,Closed,False,Router configuration issue.
TCKT061,2023-12-06 09:30:00,2023-12-06 09:40:00,Network,Closed,True,Slow internet connection.
TCKT062,2023-12-11 11:15:00,2023-12-11 11:30:00,Software,Closed,False,Application crashing frequently.
TCKT063,2023-12-12 14:20:00,2023-12-13 14:40:00,Hardware,Closed,True,Printer not responding.
TCKT064,2023-12-12 10:00:00,2023-12-13 09:30:00,Network,Closed,False,Unable to connect to VPN.
TCKT065,2023-12-13 14:45:00,2023-12-14 14:55:00,Software,Closed,True,Email client not syncing.
TCKT066,2023-12-13 11:00:00,2023-12-14 11:20:00,Hardware,Closed,False,Monitor displaying garbled images.
TCKT067,2023-12-20 14:30:00,2023-12-21 14:45:00,Software,Closed,True,Mobile app freezing on startup.
TCKT068,2023-12-20 10:45:00,2023-12-21 11:00:00,Network,Closed,False,Slow network speeds.
TCKT069,2023-12-20 14:00:00,2023-12-21 14:10:00,Hardware,Closed,True,Keyboard keys not working.
TCKT070,2023-12-22 09:00:00,2023-12-22 09:20:00,Software,Closed,False,Software license activation issue.
TCKT071,2023-12-25 11:30:00,2023-12-26 11:40:00,Network,Closed,True,Intermittent network drops.
TCKT072,2023-12-25 10:15:00,2023-12-26 10:25:00,Hardware,Closed,False,Mouse cursor not moving.
TCKT073,2023-12-25 14:45:00,2023-12-26 15:00:00,Software,Closed,True,Error message "Out of memory".
TCKT074,2023-12-26 09:30:00,2023-12-27 09:40:00,Network,Closed,False,Website access blocked.
TCKT075,2023-12-26 11:00:00,2023-12-27 11:10:00,Hardware,Closed,True,Scanner not detected.
TCKT076,2023-12-27 14:30:00,2023-12-28 14:50:00,Software,Closed,False,Application not launching.
TCKT077,2023-12-27 10:00:00,2023-12-28 10:20:00,Network,Closed,True,Internet connection dropping frequently.
TCKT078,2024-01-01 13:45:00,2024-01-02 14:00:00,Hardware,Closed,False,Printer paper jam.
TCKT079,2024-01-01 09:15:00,2024-01-02 09:30:00,Software,Closed,True,Data not saving in application.
TCKT080,2024-01-02 11:30:00,2024-01-03 11:40:00,Network,Closed,False,Router configuration issue.
TCKT081,2024-01-03 09:30:00,2024-01-03 09:40:00,Network,Closed,True,Slow internet connection.
TCKT082,2024-01-08 11:15:00,2024-01-08 11:30:00,Software,Closed,False,Application crashing frequently.
TCKT083,2024-01-09 14:20:00,2024-01-10 14:40:00,Hardware,Closed,True,Printer not responding.
TCKT084,2024-01-09 10:00:00,2024-01-10 09:30:00,Network,Closed,False,Unable to connect to VPN.
TCKT085,2024-01-10 14:45:00,2024-01-11 14:55:00,Software,Closed,True,Email client not syncing.
TCKT086,2024-01-10 11:00:00,2024-01-11 11:20:00,Hardware,Closed,False,Monitor displaying garbled images.
TCKT087,2024-01-17 14:30:00,2024-01-18 14:45:00,Software,Closed,True,Mobile app freezing on startup.
TCKT088,2024-01-17 10:45:00,2024-01-18 11:00:00,Network,Closed,False,Slow network speeds.
TCKT089,2024-01-17 14:00:00,2024-01-18 14:10:00,Hardware,Closed,True,Keyboard keys not working.
TCKT090,2024-01-18 09:00:00,2024-01-18 09:20:00,Software,Closed,False,Software license activation issue.
TCKT091,2024-01-22 11:30:00,2024-01-23 11:40:00,Network,Closed,True,Intermittent network drops.
TCKT092,2024-01-22 10:15:00,2024-01-23 10:25:00,Hardware,Closed,False,Mouse cursor not moving.
TCKT093,2024-01-23 15:00:00,2024-01-24 15:10:00,Software,Closed,True,Error message "Out of memory".
TCKT094,2024-01-24 10:00:00,,Network,In Progress,False,Website access blocked.
TCKT095,2024-01-24 11:30:00,,Hardware,In Progress,True,Scanner not detected.
TCKT096,2024-01-25 14:30:00,2024-01-26 14:50:00,Software,Closed,False,Application not launching.
TCKT097,2024-01-25 10:00:00,,Network,In Progress,True,Internet connection dropping frequently.
TCKT098,2024-01-29 13:45:00,2024-01-30 14:00:00,Hardware,Closed,False,Printer paper jam.
TCKT099,2024-01-30 09:15:00,,Software,In Progress,True,Data not saving in application.
TCKT100,2024-01-31 11:30:00,,Network,In Progress,False,Router configuration issue.
TCKT101,2024-02-01 09:30:00,,Network,In Progress,True,Slow internet connection.
TCKT102,2024-02-05 11:15:00,2024-02-06 11:30:00,Software,Closed,False,Application crashing frequently.
TCKT103,2024-02-06 14:20:00,,Hardware,In Progress,True,Printer not responding.
TCKT104,2024-02-06 10:00:00,2024-02-07 09:30:00,Network,Closed,False,Unable to connect to VPN.
TCKT105,2024-02-07 14:45:00,2024-02-08 14:55:00,Software,Closed,True,Email client not syncing.
TCKT106,2024-02-07 11:00:00,2024-02-08 11:20:00,Hardware,Closed,False,Monitor displaying garbled images.
